date,open,high,low,close,volume
5/1/2024 17:05,77.29,77.29,77.08,77.24,1537240.5
5/1/2024 16:00,77.13,77.3,77.07,77.3,9908784
5/1/2024 15:00,77.29,77.29,77.13,77.14,7980678
5/1/2024 14:00,77.23,77.32,77.13,77.26,4285300.5
5/1/2024 13:00,77.05,77.49,77.05,77.22,21418645.5
5/1/2024 12:00,77.07,77.16,77.01,77.09,8325004.5
5/1/2024 11:00,77.2,77.31,77.02,77.08,14770467
5/1/2024 10:00,77.2,77.41,77.14,77.2,13385646
5/1/2024 9:00,77.47,77.64,77.17,77.18,26935983
4/1/2024 17:05,76.96,77,76.8,76.95,1238260.5
4/1/2024 16:00,76.94,77.03,76.85,76.95,9193023
4/1/2024 15:00,77.05,77.17,76.9,76.94,6232734
4/1/2024 14:00,76.97,77.19,76.95,77.05,8225055
4/1/2024 13:00,76.75,77.09,76.61,76.91,17131815
4/1/2024 12:00,76.77,76.85,76.72,76.8,2862319.5
4/1/2024 11:00,76.83,76.9,76.67,76.72,6505510.5
4/1/2024 10:00,76.41,76.91,76.34,76.81,17383410
4/1/2024 9:00,76.48,76.69,76.32,76.47,15941583
3/1/2024 17:05,76.95,77.2,76.88,76.94,6165274.5
3/1/2024 16:00,76.8,76.93,76.69,76.84,6250788
3/1/2024 15:00,76.62,76.91,76.4,76.85,23193576
3/1/2024 14:00,76.72,76.88,76.47,76.62,26168602.5
3/1/2024 13:00,76.15,76.82,76,76.69,32420965.5
3/1/2024 12:00,76.27,76.28,76.06,76.13,6322450.5
3/1/2024 11:00,76.06,76.28,76.01,76.27,20332795.5
3/1/2024 10:00,76.22,76.24,75.9,76.06,13275418.5
3/1/2024 9:00,76.33,76.52,76.17,76.23,6785311.5
2/1/2024 17:05,76.45,76.48,76.38,76.38,2687625
2/1/2024 16:00,76.23,76.38,76.2,76.37,10057072.5
2/1/2024 15:00,75.97,76.27,75.93,76.22,11516211
2/1/2024 14:00,75.66,75.98,75.62,75.98,10717582.5
2/1/2024 13:00,75.8,76.06,75.63,75.63,14466937.5
2/1/2024 12:00,75.81,75.91,75.57,75.84,14216562
2/1/2024 11:00,76.26,76.27,75.8,75.82,13143757.5
2/1/2024 10:00,76.23,76.35,76.13,76.26,3392473.5
2/1/2024 9:00,76.06,76.67,75.99,76.24,22361080.5
28/12/2023 17:05,75.64,75.74,75.54,75.55,8811634.5
28/12/2023 16:00,75.42,75.63,75.39,75.58,24287643
28/12/2023 15:00,74.96,75.53,74.96,75.46,44396203.5
28/12/2023 14:00,74.84,75.04,74.81,74.99,15552513
28/12/2023 13:00,74.65,74.95,74.64,74.81,12390696
28/12/2023 12:00,74.54,74.78,74.5,74.63,10823260.5
28/12/2023 11:00,74.51,74.75,74.37,74.46,16651188
28/12/2023 10:00,74.04,74.59,74.04,74.51,14964565.5
28/12/2023 09:00,73.89,74.23,73.89,74.04,10295847
27/12/2023 17:05,73.99,74.13,73.89,74.07,1693836
27/12/2023 16:00,73.69,73.99,73.67,73.88,12512407.5
27/12/2023 15:00,73.72,73.91,73.56,73.71,20052144
